"ID_REGION";"LIB_REGION";"ID_ZONE";"LIB_ZONE";"ID_AGENCE";"LIB_AGENCE";"COMPANY"
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"19";AGENCE CHARGUIA II (19);TN0021019
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"64";AGENCE CHARGUIA (64);TN0021064
"729";DIRECTION REGIONALE TUNIS 2;"576";ZONE CAP BON;"237";AGENCE NABEUL-OUED SOUHIL (N7);TN0021237
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"12";AGENCE TEBOULBA (12);TN0021012
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"135";AGENCE JEMMAL (D5);TN0021135
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"206";AGENCE MOKNINE (K6);TN0021206
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"24";AGENCE KSAR HELLAL (24);TN0021024
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"259";AGENCE SAYADA (P9);TN0021259
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"286";AGENCE CHEBBA (S6);TN0021286
"730";DIR. REGION. SOUSSE CENTRE ET SAHEL;"734";ZONE CENTRE ET SAHEL 2;"291";AGENCE EL JEM (T1);TN0021291
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"101";AGENCE ENNASR (A1);TN0021101
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"102";AGENCE ALYSSA (A2);TN0021102
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"6";AGENCE EL MANAR (06);TN0021006
"728";DIRECTION REGIONALE TUNIS 1;"736";ZONE MENEZEH;"70";AG. EL MENZEH VII CITE LATIF (70);TN0021070
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"111";AGENCE EZZAHROUNI (B1);TN0021111
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"63";AGENCE RUE EL JAZIRA I (63);TN0021063
"729";DIRECTION REGIONALE TUNIS 2;"735";ZONE TUNIS OUEST;"77";AGENCE LE BARDO (77);TN0021077
"729";DIRECTION REGIONALE TUNIS 2;"579";ZONE TUNIS SUD;"57";AGENCE EL OUARDIA (57);TN0021057
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"222";AGENCE KASSERINE (M2);TN0021222
"731";DIRECTION REGIONALE SFAX ET SUD;"583";ZONE SFAX ET SUD 3;"34";AGENCE SFAX HABIB THAMEUR (34);TN0021034
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"256";AGENCE GABES 2 (P6);TN0021256
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"317";AGENCE ROUTE AEROPORT (V7);TN0021317
"731";DIRECTION REGIONALE SFAX ET SUD;"584";ZONE SFAX ET SUD 1;"32";AGENCE SFAX 2000 (32);TN0021032
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"285";AGENCE GAMMARTH (S5);TN0021285
"728";DIRECTION REGIONALE TUNIS 1;"578";ZONE TUNIS NORD;"297";AGENCE LA GOULETTE (T7);TN0021297
"731";DIRECTION REGIONALE SFAX ET SUD;"733";ZONE SFAX ET SUD 2;"45";AGENCE SFAX NORD (45);TN0021045
"728";DIRECTION REGIONALE TUNIS 1;"732";ZONE ARIANA;"114";AG. LES JARDINS DE L'ARIANA II (B4);TN0021114
